event_date,event_type,sub_event_type,actor1,actor2,interaction,admin1,fatalities
2022-07-22,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-07-22,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-07-22,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-07-22,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-07-22,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-07-21,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-07-21,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-07-21,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-07-21,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Mandalay,0
2022-07-21,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Yangon,0
2022-07-21,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Mandalay,0
2022-07-21,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Yangon,0
2022-07-21,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-07-21,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-07-21,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-07-21,Protests,Peaceful protest,Protesters (Myanmar),,60,Yangon,0
2022-07-21,Strategic developments,Other,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Rakhine,0
2022-07-20,Strategic developments,Looting/property destruction,Unidentified Anti-Coup Armed Group,Military Forces of Myanmar (2021-),13,Kachin,0
2022-07-20,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Rakhine,0
2022-07-20,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-07-20,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Tanintharyi,0
2022-07-20,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Rakhine,0
2022-07-20,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-07-20,Strategic developments,Change to group/activity,Military Forces of Myanmar (2021-),,10,Shan-South,0
2022-07-20,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-07-20,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-07-20,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-07-20,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-07-20,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Rakhine,0
2022-07-19,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-07-19,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Bago-West,0
2022-07-19,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Rakhine,0
2022-07-19,Strategic developments,Other,Civilians (Myanmar),,70,Shan-South,0
2022-07-19,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Yangon,0
2022-07-19,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Tanintharyi,0
2022-07-19,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Magway,0
2022-07-19,Protests,Peaceful protest,Protesters (Myanmar),,60,Tanintharyi,0
